idx,relres_fp16,fwd_err_fp16_vs_c128,fwd_err_c64_vs_c128,cond_full_svd
0,0.01656454886381499,0.016954995710137713,2.2863628377859085e-06,1414.3129620402506
1,0.016635251260570503,0.015572900966972836,1.951452037667866e-06,1414.8328876253386
2,0.016067019031198355,0.01829801910970261,1.353134569646572e-06,1415.2975473982337
3,0.01619883800960548,0.014660204319492288,1.8417733938969232e-06,1415.7115317609278
4,0.01636910227515763,0.01595863382041669,1.5760952253079259e-06,1416.0794040204091
5,0.016644886258182265,0.011741860866035077,1.8554169082181425e-06,1416.405674153281
6,0.016103556064210555,0.01611762842677972,1.8955268663556746e-06,1416.6947744522274
7,0.016224567969500978,0.015712034473072338,1.5853167666422023e-06,1416.951037263144
8,0.015516446290214947,0.013641044172885395,1.5910184160150742e-06,1417.1786749875178
9,0.01624613245065449,0.013043301745979365,1.6800394579839555e-06,1417.3817624869819
10,0.016207922467319818,0.02552903427176307,1.48850066612747e-06,1417.5642219888005
11,0.0163061491386375,0.015233530381713963,1.6673291356643167e-06,1417.7298105525792
12,0.015438664437027082,0.009051777054219399,1.8536453678217232e-06,1417.8821101174988
13,0.01710416029462505,0.013130039395304346,2.015009226982556e-06,1418.0245201124997
14,0.01648167356227434,0.012192163775721776,2.0902865783825658e-06,1418.1602525726598
15,0.016288056172343583,0.012055183175659357,2.374198481419384e-06,1418.2923296713302
16,0.016346461682708074,0.015301841006267563,1.6233975626536268e-06,1418.4235835432232
17,0.015920585013009116,0.01390704110901026,1.7274925819808424e-06,1418.5566582455028
18,0.01619365208430734,0.01640253752393874,2.2953500997790878e-06,1418.6940136814312
19,0.016253747796635278,0.010277666742249251,2.5604333155690765e-06,1418.8379312883062
20,0.015954875695743193,0.015025335336347975,2.225563538333947e-06,1418.9905212853614
21,0.01616951403401151,0.013272457609976378,1.7300631653816191e-06,1419.153731267308
22,0.015958528415011424,0.016839959319419034,1.5802063175770673e-06,1419.3293559417536
23,0.01664102022283377,0.010917131159732349,1.9086527332876884e-06,1419.519047821734
24,0.015965452200162912,0.015709264334807158,1.4671019617122631e-06,1419.7243287241945
25,0.01593963600839647,0.012129345783112602,1.6796862216089427e-06,1419.9466019797017
26,0.016083022682416247,0.017147465698271577,2.1841835434402893e-06,1420.187165352424
27,0.015704086047892446,0.014268521191942054,1.5345449292585934e-06,1420.4472248131433
28,0.01600200386982499,0.011295242768500644,2.004337062271847e-06,1420.727909542825
29,0.01656814767194906,0.01660072893380311,1.4491454401206443e-06,1421.0302889375762
30,0.01619633150921995,0.01235706222456324,1.9308056456601544e-06,1421.355393071849
31,0.01604922829775692,0.013190331853315255,1.5650915877458525e-06,1421.704239343972
32,0.0159761457928875,0.011863184269386613,1.2755787192104554e-06,1422.0778704795189
33,0.016566753008417794,0.01943838209381781,1.5802695953386589e-06,1422.4774141235946
34,0.015656875444607313,0.01010694218055608,1.75505709390944e-06,1422.9041853746635
35,0.01623724383752081,0.014507394388885788,1.460166259432418e-06,1423.359880068342
36,0.01564047339308397,0.016250959493025487,2.0221182054229146e-06,1423.8469755216483
37,0.016798566706444414,0.018586802366881906,1.6869693251642644e-06,1424.3696553838695
38,0.016513695541490236,0.01716199631982165,1.9104632724848573e-06,1424.936232607704
39,0.016536681986849894,0.017417729706077658,1.5250476596359695e-06,1425.5664813991398
40,0.01640225823814995,0.012087216951564339,1.4793209848378353e-06,1426.3158854214457
41,0.016496889696008286,0.013218068929515344,2.151513942073409e-06,1427.3236036312878
42,0.016964501389588618,0.012139312453317794,2.5458509256393835e-06,1428.6824745421566
43,0.01653981521007763,0.016960569034219018,2.2348843443558753e-06,1430.238045944393
44,0.01721992123784145,0.015602592509595321,1.6902827767828991e-06,1431.8575885635423
45,0.016449105437539333,0.01297164269813356,1.8249880429516673e-06,1433.4930772232055
46,0.016434431034672323,0.015889072239629844,2.0786174213878702e-06,1435.1272360563955
47,0.01662751435981215,0.015376008122809396,1.5074181462930303e-06,1436.7526817302582
48,0.01663417305159311,0.016889394556917982,1.5320618248687006e-06,1438.365720101836
49,0.016861601775707526,0.012799352927614433,1.76166949268788e-06,1439.9642650715882
50,0.016416718831521286,0.015293971285626254,1.6001748201028413e-06,1441.5470329535076
51,0.016754726595037482,0.017027313942916924,1.7978356922568793e-06,1443.1131913400297
52,0.016944308457607735,0.014887348174484621,1.9554695235428353e-06,1444.6621910014326
53,0.01623680458909581,0.016301376691898736,1.9639381451930627e-06,1446.19367916392
54,0.015652909407339377,0.01799612530650447,1.954807027265583e-06,1447.7074519373302
55,0.017563626927271696,0.01807121249108477,1.962639300137094e-06,1449.2034267791155
56,0.01649146643401022,0.017090704876738284,1.8480688440672857e-06,1450.6816257052956
57,0.01661124090271364,0.019065564515804566,1.9057447080185784e-06,1452.1421644493262
58,0.015872416968082,0.016948767801712894,1.6811604001412068e-06,1453.585244961581
59,0.016865476826779833,0.017053422957388216,1.7851602886770894e-06,1455.0111497653024
60,0.01685815983023103,0.014276664093119224,1.6419669381554964e-06,1456.4202372949596
61,0.01653425471204756,0.014294390241904419,1.7775116678279904e-06,1457.8129376805346
62,0.016116568315642038,0.013654692839576196,1.6096748914023048e-06,1459.1897486462121
63,0.016757885084091696,0.010610237409098992,1.956682823052271e-06,1460.5512313094973
64,0.01609923816466806,0.014894098664381402,1.4127091190996756e-06,1461.898005748967
65,0.016107695074662778,0.019388860351125824,1.832649981618327e-06,1463.2307462567192
66,0.01786973494839798,0.018150805901986217,2.1459482990399254e-06,1464.5501762324263
67,0.016676479442072973,0.018071748566026988,1.7849570103905014e-06,1465.857062699149
68,0.01673256915205393,0.012237926297719371,2.186369731829397e-06,1467.1522104476255
69,0.016852732463136167,0.01972847795725072,1.5312862422673172e-06,1468.4364558323157
70,0.016201363938083073,0.013824834736450511,2.770847122587219e-06,1469.7106602590602
71,0.016817536751015504,0.014469905408874622,1.6533857403015275e-06,1470.9757034239574
72,0.017369544361182883,0.022206940116586867,2.1598885499841482e-06,1472.2324763784434
73,0.016572901418818405,0.017700564042521273,2.478484297857487e-06,1473.4818745412724
74,0.01690702180552983,0.015178958930992751,1.8753310795410237e-06,1474.724791009605
75,0.016909330403134488,0.01538262523032432,2.085443220527519e-06,1475.9621113432727
76,0.01685284341071009,0.016222700510709148,1.7252498320334925e-06,1477.194702877588
77,0.015970040216966713,0.016029776396666043,1.871159464716041e-06,1478.4234058479065
78,0.017726626623174233,0.019792332687404535,2.222016468672571e-06,1479.649033673712
79,0.017068413437374676,0.01397797553463948,2.0747902784335285e-06,1480.8723660960122
80,0.016894178232173464,0.014174392623956245,1.6344396644204384e-06,1482.0941438592881
81,0.017644116062112837,0.013691993285437944,1.4699488022925405e-06,1483.3150646329775
82,0.016833064594654657,0.016979458551625352,1.858558961501439e-06,1484.5357798518621
83,0.016417754124245565,0.015273992354517431,1.5749762965891268e-06,1485.756892486799
84,0.016225249770697198,0.018403170168806587,1.6635354450515335e-06,1486.9789557789318
85,0.016646046525928063,0.013878540333733235,1.676740061652318e-06,1488.2024729496793
86,0.01679859988932936,0.014633876177991273,1.8312982607741582e-06,1489.4278978722455
87,0.01824963368300533,0.016024431576850275,1.4236115410938854e-06,1490.6556366630398
88,0.017464611940735897,0.015055563562613162,2.48581919909718e-06,1491.8860501222398
89,0.016397565071749484,0.014239433988489559,2.09739658263759e-06,1493.1194569243132
90,0.018059020466073335,0.01809637312000336,1.6555049281413306e-06,1494.3561374390474
91,0.016172513755089057,0.014815254976053616,1.8897387397249868e-06,1495.5963380452001
92,0.01697315771375641,0.016241449279198995,1.8988890973501932e-06,1496.8402757858528
93,0.01597559689138808,0.01604632818767266,1.8272245096449859e-06,1498.0881432132771
