material   : carbon-chain
h5path     : /scratch/yimili/matrices/hdf5/carbon-chain.h5
block size : 104
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
   0  1.656455e-02  1.695500e-02  2.286363e-06  1.414313e+03
   1  1.663525e-02  1.557290e-02  1.951452e-06  1.414833e+03
   2  1.606702e-02  1.829802e-02  1.353135e-06  1.415298e+03
   3  1.619884e-02  1.466020e-02  1.841773e-06  1.415712e+03
   4  1.636910e-02  1.595863e-02  1.576095e-06  1.416079e+03
   5  1.664489e-02  1.174186e-02  1.855417e-06  1.416406e+03
   6  1.610356e-02  1.611763e-02  1.895527e-06  1.416695e+03
   7  1.622457e-02  1.571203e-02  1.585317e-06  1.416951e+03
   8  1.551645e-02  1.364104e-02  1.591018e-06  1.417179e+03
   9  1.624613e-02  1.304330e-02  1.680039e-06  1.417382e+03
  10  1.620792e-02  2.552903e-02  1.488501e-06  1.417564e+03
  11  1.630615e-02  1.523353e-02  1.667329e-06  1.417730e+03
  12  1.543866e-02  9.051777e-03  1.853645e-06  1.417882e+03
  13  1.710416e-02  1.313004e-02  2.015009e-06  1.418025e+03
  14  1.648167e-02  1.219216e-02  2.090287e-06  1.418160e+03
  15  1.628806e-02  1.205518e-02  2.374198e-06  1.418292e+03
  16  1.634646e-02  1.530184e-02  1.623398e-06  1.418424e+03
  17  1.592059e-02  1.390704e-02  1.727493e-06  1.418557e+03
  18  1.619365e-02  1.640254e-02  2.295350e-06  1.418694e+03
  19  1.625375e-02  1.027767e-02  2.560433e-06  1.418838e+03
  20  1.595488e-02  1.502534e-02  2.225564e-06  1.418991e+03
  21  1.616951e-02  1.327246e-02  1.730063e-06  1.419154e+03
  22  1.595853e-02  1.683996e-02  1.580206e-06  1.419329e+03
  23  1.664102e-02  1.091713e-02  1.908653e-06  1.419519e+03
  24  1.596545e-02  1.570926e-02  1.467102e-06  1.419724e+03
  25  1.593964e-02  1.212935e-02  1.679686e-06  1.419947e+03
  26  1.608302e-02  1.714747e-02  2.184184e-06  1.420187e+03
  27  1.570409e-02  1.426852e-02  1.534545e-06  1.420447e+03
  28  1.600200e-02  1.129524e-02  2.004337e-06  1.420728e+03
  29  1.656815e-02  1.660073e-02  1.449145e-06  1.421030e+03
  30  1.619633e-02  1.235706e-02  1.930806e-06  1.421355e+03
  31  1.604923e-02  1.319033e-02  1.565092e-06  1.421704e+03
  32  1.597615e-02  1.186318e-02  1.275579e-06  1.422078e+03
  33  1.656675e-02  1.943838e-02  1.580270e-06  1.422477e+03
  34  1.565688e-02  1.010694e-02  1.755057e-06  1.422904e+03
  35  1.623724e-02  1.450739e-02  1.460166e-06  1.423360e+03
  36  1.564047e-02  1.625096e-02  2.022118e-06  1.423847e+03
  37  1.679857e-02  1.858680e-02  1.686969e-06  1.424370e+03
  38  1.651370e-02  1.716200e-02  1.910463e-06  1.424936e+03
  39  1.653668e-02  1.741773e-02  1.525048e-06  1.425566e+03
  40  1.640226e-02  1.208722e-02  1.479321e-06  1.426316e+03
  41  1.649689e-02  1.321807e-02  2.151514e-06  1.427324e+03
  42  1.696450e-02  1.213931e-02  2.545851e-06  1.428682e+03
  43  1.653982e-02  1.696057e-02  2.234884e-06  1.430238e+03
  44  1.721992e-02  1.560259e-02  1.690283e-06  1.431858e+03
  45  1.644911e-02  1.297164e-02  1.824988e-06  1.433493e+03
  46  1.643443e-02  1.588907e-02  2.078617e-06  1.435127e+03
  47  1.662751e-02  1.537601e-02  1.507418e-06  1.436753e+03
  48  1.663417e-02  1.688939e-02  1.532062e-06  1.438366e+03
  49  1.686160e-02  1.279935e-02  1.761669e-06  1.439964e+03
  50  1.641672e-02  1.529397e-02  1.600175e-06  1.441547e+03
  51  1.675473e-02  1.702731e-02  1.797836e-06  1.443113e+03
  52  1.694431e-02  1.488735e-02  1.955470e-06  1.444662e+03
  53  1.623680e-02  1.630138e-02  1.963938e-06  1.446194e+03
  54  1.565291e-02  1.799613e-02  1.954807e-06  1.447707e+03
  55  1.756363e-02  1.807121e-02  1.962639e-06  1.449203e+03
  56  1.649147e-02  1.709070e-02  1.848069e-06  1.450682e+03
