material   : graphene
h5path     : /scratch/yimili/matrices/hdf5/graphene.h5
block size : 416
requested  : idx 0..401 (402 indices)
completed  : 402
failed     : 0

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
   0  4.375439e-02  4.248956e-02  3.180109e-06  6.947053e+02
   1  4.497515e-02  4.016567e-02  3.241773e-06  6.973189e+02
   2  4.377138e-02  4.371544e-02  3.107959e-06  6.999586e+02
   3  5.302689e-02  3.870818e-02  3.452914e-06  7.026253e+02
   4  4.702079e-02  4.213456e-02  3.357594e-06  7.053200e+02
   5  5.577800e-02  4.487542e-02  3.030564e-06  7.080439e+02
   6  4.705915e-02  4.113747e-02  3.236406e-06  7.107982e+02
   7  4.039373e-02  3.341101e-02  3.567011e-06  7.135844e+02
   8  4.604713e-02  3.625174e-02  3.510061e-06  7.164040e+02
   9  4.761263e-02  4.638887e-02  3.034158e-06  7.192587e+02
  10  4.938707e-02  3.902909e-02  3.074377e-06  7.221503e+02
  11  5.655064e-02  4.300673e-02  3.265731e-06  7.250806e+02
  12  4.761437e-02  3.961608e-02  3.469050e-06  7.280515e+02
  13  5.623894e-02  3.829805e-02  3.128873e-06  7.310650e+02
  14  5.130717e-02  4.243031e-02  3.074036e-06  7.341230e+02
  15  5.645132e-02  3.996791e-02  3.297831e-06  7.372275e+02
  16  4.461544e-02  3.585788e-02  3.272657e-06  7.403803e+02
  17  6.177915e-02  4.113212e-02  3.261616e-06  7.435831e+02
  18  5.126403e-02  4.369830e-02  3.127273e-06  7.468377e+02
  19  5.196008e-02  3.532567e-02  3.428552e-06  7.501456e+02
  20  5.304771e-02  4.039992e-02  3.299489e-06  7.535081e+02
  21  4.928040e-02  4.095678e-02  3.222158e-06  7.569264e+02
  22  6.053066e-02  3.866229e-02  3.282340e-06  7.604016e+02
  23  5.296819e-02  4.437162e-02  3.279609e-06  7.639345e+02
  24  5.747746e-02  4.630580e-02  3.244119e-06  7.675257e+02
  25  5.275122e-02  4.167140e-02  3.642291e-06  7.711758e+02
  26  4.826017e-02  3.837083e-02  3.326875e-06  7.748849e+02
  27  5.071467e-02  3.536700e-02  3.012880e-06  7.786532e+02
  28  5.611005e-02  3.881366e-02  3.249189e-06  7.824808e+02
  29  4.892581e-02  4.238520e-02  3.233858e-06  7.863674e+02
  30  4.992416e-02  4.388227e-02  3.127829e-06  7.903128e+02
  31  4.462235e-02  3.538271e-02  3.396504e-06  7.943166e+02
  32  4.432106e-02  3.669522e-02  3.370910e-06  7.983783e+02
  33  4.650760e-02  3.589715e-02  3.094621e-06  8.024973e+02
  34  4.401986e-02  3.675963e-02  3.293147e-06  8.066731e+02
  35  4.584713e-02  3.959010e-02  3.322826e-06  8.109049e+02
  36  4.835210e-02  4.058326e-02  3.075493e-06  8.151920e+02
  37  5.108141e-02  4.370262e-02  3.427446e-06  8.195336e+02
  38  4.835290e-02  3.621927e-02  3.254906e-06  8.239289e+02
  39  4.265702e-02  3.581816e-02  3.563994e-06  8.283772e+02
  40  4.252803e-02  4.002513e-02  3.492484e-06  8.328777e+02
