material   : si-bulk
h5path     : /scratch/yimili/matrices/hdf5/si-bulk.h5
block size : 256
requested  : idx 0..401 (402 indices)
completed  : 384
failed     : 18
failed indices:
  idx=270: KeyError('Unable to synchronously open object (component not found)')
  idx=271: KeyError('Unable to synchronously open object (component not found)')
  idx=272: KeyError('Unable to synchronously open object (component not found)')
  idx=273: KeyError('Unable to synchronously open object (component not found)')
  idx=274: KeyError('Unable to synchronously open object (component not found)')
  idx=275: KeyError('Unable to synchronously open object (component not found)')
  idx=276: KeyError('Unable to synchronously open object (component not found)')
  idx=277: KeyError('Unable to synchronously open object (component not found)')
  idx=278: KeyError('Unable to synchronously open object (component not found)')
  idx=279: KeyError('Unable to synchronously open object (component not found)')
  idx=280: KeyError('Unable to synchronously open object (component not found)')
  idx=281: KeyError('Unable to synchronously open object (component not found)')
  idx=282: KeyError('Unable to synchronously open object (component not found)')
  idx=283: KeyError('Unable to synchronously open object (component not found)')
  idx=284: KeyError('Unable to synchronously open object (component not found)')
  idx=285: KeyError('Unable to synchronously open object (component not found)')
  idx=286: KeyError('Unable to synchronously open object (component not found)')
  idx=287: KeyError('Unable to synchronously open object (component not found)')

idx  relres_fp16   fwd_err_fp16   fwd_err_c64   cond_full_svd
   0  nan  nan  9.330937e-06  1.469711e+03
   1  1.980004e-01  5.924255e-01  9.144518e-06  1.066376e+03
   2  7.786893e-01  9.876235e-01  5.094492e-05  8.366538e+02
   3  4.870436e-01  6.076645e-01  8.947023e-06  9.229133e+02
   4  1.910192e-01  4.636107e-01  8.479642e-06  1.210022e+03
   5  1.914083e-01  4.572222e-01  9.302586e-06  1.756838e+03
   6  2.625839e-01  4.627574e-01  1.473662e-05  3.206718e+03
   7  2.465515e-01  4.841576e-01  5.566694e-05  1.839803e+04
   8  1.921290e-01  4.617993e-01  1.567141e-04  4.919547e+03
   9  1.925749e-01  4.514311e-01  2.867060e-04  2.169066e+03
  10  1.924006e-01  4.706387e-01  1.193418e-05  1.390979e+03
  11  8.045636e-01  4.308972e+00  8.973829e-06  1.023603e+03
  12  nan  nan  9.692514e-06  8.096529e+02
  13  5.711020e-01  6.722510e-01  1.036811e-05  9.076970e+02
  14  2.478678e-01  4.653226e-01  1.554320e-05  1.184924e+03
  15  2.229735e-01  4.603445e-01  9.910907e-06  1.706339e+03
  16  1.935570e-01  4.570043e-01  1.412930e-05  3.048493e+03
  17  2.149974e-01  4.697186e-01  4.233721e-05  1.431056e+04
